image_id,bboxes,class_labels
-100-_jpg.rf.6b199c9fc71e9e4e5bc8c05672228675.jpg,"[[0, 0, 0, 0], [283, 366, 348, 606], [154, 4, 480, 354]]","[0, 2, 3]"
-103-_jpg.rf.8febf432a8dbfbfd04777ea6fc7af232.jpg,"[[95, 519, 489, 640], [225, 285, 427, 533], [0, 1, 632, 284]]","[1, 2, 3]"
-129-_jpg.rf.e5a099496f4977790da32a292f180248.jpg,"[[91, 444, 576, 639], [273, 315, 392, 465], [0, 0, 640, 430]]","[1, 2, 3]"
-140-_jpg.rf.ed892dae4b315852058dbf71b6e77ead.jpg,"[[271, 533, 411, 558], [299, 425, 375, 535], [53, 45, 588, 429]]","[1, 2, 3]"
-171-_jpg.rf.9e4f910cb43d655f4822b89b53ef334b.jpg,"[[174, 494, 416, 545], [248, 341, 345, 500], [91, 135, 529, 403]]","[1, 2, 3]"
-193-_jpg.rf.7a4495d313ab3e9fbe99f8db7c7efd2d.jpg,"[[80, 513, 484, 638], [217, 382, 396, 527], [0, 0, 640, 376]]","[1, 2, 3]"
-206-_jpg.rf.564fd7ce2ad0dd5fde3797299c07fff9.jpg,"[[0, 0, 0, 0], [203, 358, 373, 634], [51, 60, 519, 391]]","[0, 2, 3]"
-210-_jpg.rf.d19aeab68a48f5c0d01a985e254fd747.jpg,"[[183, 581, 350, 619], [240, 511, 304, 585], [0, 12, 640, 607]]","[1, 2, 3]"
-213-_jpg.rf.d100bedc591cb84fef048fe4065d10f7.jpg,"[[239, 598, 402, 630], [250, 433, 399, 617], [2, 1, 638, 423]]","[1, 2, 3]"
-214-_jpg.rf.ac7068ceaa6ea57dd950271a39ac8d17.jpg,"[[0, 0, 0, 0], [230, 361, 354, 527], [82, 132, 510, 391]]","[0, 2, 3]"
-219-_jpg.rf.ce9ac72f9355f382ab1ceec5e9b1a576.jpg,"[[279, 587, 335, 619], [293, 462, 323, 589], [68, 7, 534, 488]]","[1, 2, 3]"
-223-_jpg.rf.c370f76dfbdb7c0a2e9b5e59e8072271.jpg,"[[241, 484, 424, 523], [289, 406, 370, 492], [86, 90, 559, 393]]","[1, 2, 3]"
-226-_png_jpg.rf.46a1f55d558345ff88354af7be60a255.jpg,"[[177, 550, 429, 639], [268, 376, 354, 560], [12, 6, 633, 387]]","[1, 2, 3]"
-232-_jpg.rf.7570184d42664ff4e935d578aa345883.jpg,"[[104, 563, 484, 617], [236, 353, 360, 579], [22, 8, 577, 385]]","[1, 2, 3]"
-25-_jpg.rf.2d2a6b6908e7ec058d351b27b5ca3554.jpg,"[[217, 563, 444, 608], [274, 324, 383, 571], [15, 55, 631, 448]]","[1, 2, 3]"
-256-_jpg.rf.1954b79b49791c821c842af31f3d6745.jpg,"[[0, 0, 0, 0], [229, 382, 347, 623], [29, 1, 640, 411]]","[0, 2, 3]"
-277-_jpg.rf.b9a9ad66b0326fb4e192b03e0119809f.jpg,"[[233, 570, 423, 616], [288, 409, 366, 581], [88, 41, 560, 420]]","[1, 2, 3]"
-286-_jpg.rf.a83fd0cfc01ad4f5eee01ed05deddaf8.jpg,"[[4, 491, 473, 634], [221, 256, 286, 504], [0, 6, 613, 315]]","[1, 2, 3]"
-319-_jpg.rf.f792d8c6ac95fa42796a7583d02beda1.jpg,"[[0, 0, 0, 0], [288, 402, 330, 563], [126, 68, 501, 420]]","[0, 2, 3]"
-324-_jpg.rf.54bb73eb1cb8c576ade74cb21869eb97.jpg,"[[0, 0, 0, 0], [148, 449, 288, 630], [0, 0, 632, 476]]","[0, 2, 3]"
-329-_jpg.rf.3ec6e90b81997292b349147a5c01dc42.jpg,"[[190, 553, 443, 631], [283, 418, 359, 570], [46, 0, 591, 509]]","[1, 2, 3]"
-336-_jpg.rf.0993bed1f79f35616dc267fb02547603.jpg,"[[269, 527, 411, 574], [309, 379, 402, 533], [77, 30, 566, 405]]","[1, 2, 3]"
-362-_png_jpg.rf.b71c0311bb018ccf6910783c6ced4039.jpg,"[[161, 523, 395, 587], [202, 311, 306, 529], [0, 10, 640, 337]]","[1, 2, 3]"
-369-_png_jpg.rf.fa77566a5ebe8677962313d9e7c10da6.jpg,"[[277, 592, 370, 640], [282, 432, 351, 594], [7, 9, 637, 466]]","[1, 2, 3]"
-411-_png_jpg.rf.640fc80177a1c5377da5b08bda28ce73.jpg,"[[0, 0, 0, 0], [298, 431, 419, 640], [0, 19, 640, 503]]","[0, 2, 3]"
-418-_jpg.rf.c1e440f95edd9393b3a786cddd8ac0d7.jpg,"[[198, 570, 421, 636], [267, 349, 343, 573], [137, 38, 476, 369]]","[1, 2, 3]"
-422-_jpg.rf.16d9c4f525f05bf1edbad22485dcfe2d.jpg,"[[214, 552, 405, 626], [245, 323, 357, 560], [136, 58, 492, 356]]","[1, 2, 3]"
-423-_jpg.rf.dc4a0ecd7a7f714db4ca66afaae307c3.jpg,"[[201, 550, 431, 632], [277, 378, 366, 558], [146, 36, 492, 384]]","[1, 2, 3]"
-49-_jpg.rf.6cd6dcda24cab145325c37064f782d7a.jpg,"[[76, 508, 582, 604], [186, 202, 398, 523], [6, 18, 622, 266]]","[1, 2, 3]"
-503-_jpg.rf.43b3565c8a06fb2d1845231e6d5e3d65.jpg,"[[214, 597, 364, 635], [246, 453, 336, 606], [8, 6, 626, 537]]","[1, 2, 3]"
-515-_jpg.rf.567778b102218c920cb47a4e70189719.jpg,"[[0, 0, 0, 0], [215, 440, 369, 619], [45, 57, 594, 507]]","[0, 2, 3]"
-518-_jpg.rf.9c0ed26193c599300ae3b6f3eacc1834.jpg,"[[0, 0, 0, 0], [297, 425, 351, 508], [103, 132, 546, 381]]","[0, 2, 3]"
-542-_jpg.rf.2a9a8d685e73edaa91e1fa914707f233.jpg,"[[285, 548, 350, 592], [295, 356, 338, 555], [141, 51, 491, 363]]","[1, 2, 3]"
-547-_jpg.rf.c339cb6952641a093666b1edfc93b3c6.jpg,"[[248, 548, 380, 584], [275, 393, 352, 552], [90, 57, 556, 456]]","[1, 2, 3]"
-549-_jpg.rf.cd5f1fe222f5629c04ec65234ab4fd8d.jpg,"[[0, 0, 0, 0], [269, 460, 371, 585], [93, 97, 554, 486]]","[0, 2, 3]"
-555-_jpg.rf.5a291f1abc2a667109526aec1bf68ed5.jpg,"[[148, 525, 403, 624], [212, 340, 346, 530], [57, 2, 490, 425]]","[1, 2, 3]"
-557-_jpg.rf.9b1f7613312bc3559de29ae158824dd7.jpg,"[[0, 0, 0, 0], [277, 372, 335, 584], [2, 0, 626, 413]]","[0, 2, 3]"
-558-_jpg.rf.ed323baac3d3f9cf41151fd776a7f33f.jpg,"[[215, 387, 317, 434], [241, 255, 306, 387], [119, 71, 434, 349]]","[1, 2, 3]"
-560-_jpg.rf.3b0a3beb313ba517d95fc628cccdeda9.jpg,"[[0, 0, 0, 0], [311, 429, 326, 521], [128, 69, 492, 461]]","[0, 2, 3]"
-563-_jpg.rf.7fdd29dc3c93bf6cb5aee0908a9cf2c5.jpg,"[[138, 547, 395, 640], [244, 316, 323, 552], [11, 11, 633, 324]]","[1, 2, 3]"
-566-_jpg.rf.b0a7abb9767450ca00778c93258480b2.jpg,"[[0, 0, 0, 0], [251, 416, 367, 615], [14, 11, 625, 457]]","[0, 2, 3]"
-568-_jpg.rf.aeca35a62cd36fa8467c8bc982036adf.jpg,"[[217, 527, 413, 592], [271, 356, 351, 532], [147, 76, 483, 360]]","[1, 2, 3]"
-571-_jpg.rf.f5ed9fb1e290fbcc8347813b147955ee.jpg,"[[254, 538, 446, 622], [242, 349, 401, 557], [51, 31, 555, 363]]","[1, 2, 3]"
-572-_jpg.rf.5b07ab72b4260351c64aa2836a89b1fd.jpg,"[[242, 593, 366, 635], [255, 368, 364, 598], [48, 0, 580, 394]]","[1, 2, 3]"
