epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.382,1.40931,2.74248,1.73156,0.57445,0.08817,0.19164,0.09649,1.42814,3.84668,1.85719,0.000466807,0.000466807,0.000466807
2,656.79,1.34211,2.07075,1.63253,0.29121,0.43046,0.24727,0.12869,1.54725,3.79895,1.94646,0.000849769,0.000849769,0.000849769
3,975.005,1.35007,1.90048,1.62293,0.25374,0.46785,0.27113,0.16205,1.43432,3.87042,1.87989,0.00113842,0.00113842,0.00113842
4,1478.96,1.30497,1.68335,1.56355,0.25811,0.55265,0.28338,0.17559,1.35804,4.43565,1.71888,0.00100459,0.00100459,0.00100459
5,1859.6,1.22163,1.52844,1.50971,0.3832,0.55169,0.35947,0.21927,1.28954,2.83429,1.5781,0.000863116,0.000863116,0.000863116
6,2231.62,1.20019,1.42584,1.48564,0.38304,0.65438,0.38628,0.24396,1.20024,2.54935,1.46176,0.000721645,0.000721645,0.000721645
7,2604.43,1.12388,1.28315,1.41497,0.43414,0.73447,0.45345,0.2889,1.09123,2.24096,1.35503,0.000580174,0.000580174,0.000580174
8,2985.33,1.07346,1.21112,1.36996,0.40941,0.76283,0.43942,0.28783,1.03561,2.35845,1.32145,0.000438703,0.000438703,0.000438703
9,3274.4,1.0392,1.16127,1.37157,0.43301,0.71128,0.44327,0.2994,1.03452,2.04536,1.30727,0.000297232,0.000297232,0.000297232
10,3573.2,0.96078,1.06328,1.29875,0.44865,0.72462,0.45793,0.31144,1.00833,1.97174,1.28011,0.000155761,0.000155761,0.000155761
